BuilderSubdivisionID,Subdivision,Builder,Status,ProductStyle,City,County,State,Latitude,Longitude,SubmarketID,SubmarketName,UnitsPlanned,UnitsRemaining,AnnualStarts,AnnualClosings
BF9923E0-650F-4185-98B7-AC995F8FB147,Buffer Farms,D.R. Horton Inc,Active,Single-Family Detached,Port Saint Joe,Gulf,FL,29.753292,-85.287855,SM-31,Gulf County,26,20,14.0,6.0
48B20B19-BDCF-4F04-BDB0-AC7D9A28F415,Briar Rose,Adams Homes,Active,Single-Family Detached,Bay Minette,Baldwin,AL,30.893432,-87.765876,SM-05,North Baldwin,26,26,5.0,0.0
A8C3D784-F3BB-4651-8369-113D049311C3,Mitchells Commercial Plaza,Mitchell Custom Homes LLC,Active,Single-Family Detached,Summerdale,Baldwin,AL,30.487652,-87.710272,SM-12,Central Baldwin,20,20,0.0,0.0
C2C580E5-9DCB-44F3-A9D0-CED1B39B7A07,Avery Cove,Lennar,Active,Single-Family Detached,Robertsdale,Baldwin,AL,30.530624,-87.67926,SM-12,Central Baldwin,121,121,0.0,0.0
836789E8-5A9C-4B35-86B6-85763F25B031,Watersound/Ward Creek/Salt Grass,Fischer Homes | Kolter Homes,Active,Single-Family Detached,Panama City Beach,Bay,FL,30.255889,-85.877167,SM-22,Walton and Bay Beaches,230,208,34.0,21.0
A5994134-068C-498F-9785-C6F23F42DA38,Country Club Estates,Adams Homes | Benchmark Homes Group,Active,Single-Family Detached,Theodore,Mobile,AL,30.532506,-88.159847,SM-01,South Mobile,36,3,3.0,8.0
984111CF-5B1F-48BB-A123-B73D4CF78726,Crossings at Freeport,Lennar Homes,Active,Single-Family Detached,Freeport,Walton,FL,30.481669,-86.188912,SM-20,Freeport,127,127,0.0,0.0
483E8BBE-30C7-4F9A-8780-F0EC6E80164E,Nichols Creek,Thomas Home Corporation,Active,Single-Family Detached,Milton,Santa Rosa,FL,30.609678,-86.89159,SM-14,Santa Rosa County,247,247,0.0,0.0
98364EB9-44B5-416D-8E5E-DD00F32ADC54,Pearl Place,Traton Homes,Active,Single-Family Detached,Santa Rosa Beach,Walton,FL,30.352123,-86.225083,SM-22,Walton and Bay Beaches,10,10,0.0,0.0
70589804-396D-4AB5-8B9C-D58752252D0C,Soundside Hollow,Abbott Martin Group,Active,Single-Family Detached,Navarre,Santa Rosa,FL,30.408623,-86.817892,SM-21,Eglin AFB,17,9,1.0,1.0
28EC96CD-4C63-454C-857C-DADC3296A034,East Bay ,Adams Homes | Samuel Taylor Homes,Active,Single-Family Detached,Panama City,Bay,FL,30.130085,-85.507123,SM-29,Bay County Submarket 2,146,52,20.0,24.0
811039C2-0821-4CE8-9F58-805A28C0B84F,Forest Glen,Benchmark Homes Group,Active,Single-Family Detached,Mobile,Mobile,AL,30.715093,-88.147581,SM-02,Central Mobile,73,21,5.0,3.0
EE4D0E9F-21C1-49BE-AC97-E106A91095B4,Laguna Haven,Laguna Haven Construction LLC,Active,Single-Family Detached,Panama City Beach,Bay,FL,30.244406,-85.914123,SM-22,Walton and Bay Beaches,39,8,5.0,2.0
